title,make,model,year,condition,transmission,price
Toyota RAV4 2007 Black,Toyota,RAV4,2007,foreign used,manual,"₦ 8,500,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5M) 2003 Silver,Toyota,Camry LE,2003,local used,automatic,"₦ 4,000,000"
Hyundai Sonata 2019 Black,Hyundai,Sonata,2019,foreign used,automatic,"₦ 29,109,375"
Mercedes-Benz GLK-Class 350 4MATIC 2010 Black,Mercedes-Benz,GLK-Class 350,2010,foreign used,automatic,"₦ 17,500,000"
Lexus RX 330 2005 Blue,Lexus,RX 330,2005,foreign used,automatic,"₦ 12,600,000"
Honda Accord 2014 Gray,Honda,Accord,2014,local used,automatic,"₦ 8,000,000"
Hyundai Sonata 2012 White,Hyundai,Sonata,2012,foreign used,automatic,"₦ 9,100,000"
Hyundai Sonata 2012 Burgundy,Hyundai,Sonata,2012,local used,automatic,"₦ 6,999,999"
Renault Duster 2013 Blue,Renault,Duster,2013,foreign used,automatic,"₦ 4,500,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (2.0L 4cyll 7A) 2016 Silver,Mercedes-Benz,C300 Sport,2016,local used,automatic,"₦ 17,500,000"
Toyota RAV4 2010 Silver,Toyota,RAV4,2010,foreign used,automatic,"₦ 13,500,000"
Toyota RAV4 2.5 2010 Red,Toyota,RAV4 2,2010,local used,automatic,"₦ 7,000,000"
Lexus RX 350 2011 White,Lexus,RX 350,2011,local used,automatic,"₦ 16,850,000"
Toyota Camry 2016 Gray,Toyota,Camry,2016,foreign used,automatic,"₦ 15,500,000"
Lexus GX 2010 Red,Lexus,GX,2010,foreign used,automatic,"₦ 32,500,000"
Toyota Corolla 2008 Red,Toyota,Corolla,2008,foreign used,automatic,"₦ 9,900,000"
Mercedes-Benz M Class 2015 White,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 25,500,000"
Toyota Highlander 2016 White,Toyota,Highlander,2016,foreign used,automatic,"₦ 29,650,000"
Ford Taurus 2013 Silver,Ford,Taurus,2013,foreign used,automatic,"₦ 10,550,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (3.0L 6cyl 7A) 2010 White,Mercedes-Benz,C300 Sport,2010,local used,automatic,"₦ 5,000,000"
Toyota RAV4 XLE AWD 2020 Red,Toyota,RAV4 XLE,2020,foreign used,automatic,"₦ 35,000,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2024 Gray,Mercedes-Benz,GLE-Class GLE,2024,foreign used,automatic,"₦ 140,000,000"
Toyota Sequoia 2004 Blue,Toyota,Sequoia,2004,local used,automatic,"₦ 4,429,687"
Honda Civic 1.7 CTDi S 2005 Blue,Honda,Civic 1,2005,local used,automatic,"₦ 2,310,000"
Lexus RX 330 2005 Silver,Lexus,RX 330,2005,foreign used,automatic,"₦ 10,700,000"
Lexus RX 350 2018 Black,Lexus,RX 350,2018,foreign used,automatic,"₦ 55,000,000"
Toyota Avalon Touring Sedan FWD (3.5 6cyl 6A) 2017 Gray,Toyota,Avalon Touring,2017,local used,automatic,"₦ 19,800,000"
Toyota Highlander XLE 4dr SUV (3.5L 6cyl 6A) 2015 Gray,Toyota,Highlander XLE,2015,foreign used,automatic,"₦ 34,000,000"
Honda Ridgeline 2012 Silver,Honda,Ridgeline,2012,foreign used,automatic,"₦ 13,500,000"
Genesis GV80 2.5T 2022 Gray,Genesis,GV80 2,2022,foreign used,automatic,"₦ 132,000,000"
Lexus ES 350 FWD 2014 Red,Lexus,ES 350,2014,foreign used,automatic,"₦ 20,500,000"
Lexus ES 2014 Black,Lexus,ES,2014,foreign used,automatic,"₦ 20,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Blue,Toyota,Camry SE,2013,foreign used,automatic,"₦ 12,800,000"
Toyota Camry 2.3 2007 Black,Toyota,Camry 2,2007,local used,automatic,"₦ 5,000,000"
Lexus RX 2014 White,Lexus,RX,2014,local used,automatic,"₦ 10,500,000"
Toyota Corolla 2003 Silver,Toyota,Corolla,2003,local used,automatic,"₦ 4,200,000"
Toyota Camry L 4dr Sedan (2.5L 4cyl 6A) 2013 Blue,Toyota,Camry L,2013,foreign used,automatic,"₦ 12,600,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2020 White,Mercedes-Benz,GLE-Class GLE,2020,foreign used,automatic,"₦ 78,500,000"
Mercedes-Benz GLE-Class GLE 350 2018 Silver,Mercedes-Benz,GLE-Class GLE,2018,foreign used,automatic,"₦ 42,000,000"
Toyota Camry 2008 Gray,Toyota,Camry,2008,local used,automatic,"₦ 5,300,000"
Acura ZDX Base AWD 2012 Black,Acura,ZDX Base,2012,foreign used,automatic,"₦ 18,000,000"
Toyota Corolla CE 2005 Gold,Toyota,Corolla CE,2005,foreign used,automatic,"₦ 6,000,000"
Mercedes-Benz G-Class Base G 550 AWD 2020 Black,Mercedes-Benz,G-Class Base,2020,foreign used,automatic,"₦ 224,999,999"
