title,make,model,year,condition,transmission,price
Mercedes-Benz GLK-Class 350 4MATIC 2011 Black,Mercedes-Benz,Glk-Class 350,2011.0,Local Used,Automatic,9500000.0
Dodge Charger SE AWD 2016 Gray,Dodge,Charger Se,2016.0,Foreign Used,Automatic,17000000.0
Toyota Camry 2010 Black,Toyota,Camry,2010.0,Local Used,Automatic,9492187.0
Toyota Venza AWD 2010 Brown,Toyota,Venza Awd,2010.0,Local Used,Automatic,8700000.0
Honda Civic 2007 Black,Honda,Civic,2007.0,Local Used,Automatic,3600000.0
Toyota Highlander XLE 4x2 V6 (3.5L 6cyl 8A) 2018 Gray,Toyota,Highlander Xle,2018.0,Foreign Used,Automatic,35000000.0
Lexus GX 2013 Gold,Lexus,Gx,2013.0,Foreign Used,Automatic,32000000.0
Toyota Corolla 2010 Silver,Toyota,Corolla,2010.0,Foreign Used,Automatic,12500000.0
Lexus ES 300 2004 Blue,Lexus,Es 300,2004.0,Local Used,Automatic,6000000.0
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 White,Toyota,Camry Se,2013.0,Foreign Used,Automatic,13800000.0
Toyota RAV4 Limited V6 2008 Gray,Toyota,Rav4 Limited,2008.0,Local Used,Automatic,6800000.0
Toyota Highlander Limited 3.5l 4WD 2013 White,Toyota,Highlander Limited,2013.0,Foreign Used,Automatic,22000000.0
Toyota Highlander 2004 Black,Toyota,Highlander,2004.0,Local Used,Automatic,3600000.0
Toyota Camry SE (2.5L 4cyl 8A) 2019,Toyota,Camry Se,2019.0,Foreign Used,Automatic,32000000.0
Toyota Venza 2010 Black,Toyota,Venza,2010.0,Local Used,Automatic,8700000.0
Honda Accord 2016 Gold,Honda,Accord,2016.0,Local Used,Automatic,9000000.0
Lexus ES 2004 Black,Lexus,Es,2004.0,Local Used,Automatic,4800000.0
Toyota Corolla 2010 Silver,Toyota,Corolla,2010.0,Foreign Used,Automatic,9700000.0
Toyota RAV4 2014 Blue,Toyota,Rav4,2014.0,Local Used,Automatic,14000000.0
Toyota Venza XLE 2011 Red,Toyota,Venza Xle,2011.0,Local Used,Automatic,13200000.0
Lexus RX 350 AWD 2008 Blue,Lexus,Rx 350,2008.0,Foreign Used,Automatic,13000000.0
