title,make,model,year,condition,transmission,price
Toyota RAV4 2007 Black,Toyota,Rav4,2007.0,Foreign Used,Manual,8500000
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5M) 2003 Silver,Toyota,Camry Le,2003.0,Local Used,Automatic,4000000
Hyundai Sonata 2019 Black,Hyundai,Sonata,2019.0,Foreign Used,Automatic,29109375
Mercedes-Benz GLK-Class 350 4MATIC 2010 Black,Mercedes Benz,GlkClass 350,2010.0,Foreign Used,Automatic,17500000
Lexus RX 330 2005 Blue,Lexus,Rx 330,2005.0,Foreign Used,Automatic,12600000
Honda Accord 2014 Gray,Honda,Accord,2014.0,Local Used,Automatic,8000000
Hyundai Sonata 2012 White,Hyundai,Sonata,2012.0,Foreign Used,Automatic,9100000
Hyundai Sonata 2012 Burgundy,Hyundai,Sonata,2012.0,Local Used,Automatic,6999999
Renault Duster 2013 Blue,Renault,Duster,2013.0,Foreign Used,Automatic,4500000
Mercedes-Benz C300 Sport 4Matic Sedan AWD (2.0L 4cyll 7A) 2016 Silver,Mercedes Benz,C300 Sport,2016.0,Local Used,Automatic,17500000
Toyota RAV4 2010 Silver,Toyota,Rav4,2010.0,Foreign Used,Automatic,13500000
Toyota RAV4 2.5 2010 Red,Toyota,Rav4 2,2010.0,Local Used,Automatic,7000000
Lexus RX 350 2011 White,Lexus,Rx 350,2011.0,Local Used,Automatic,16850000
Toyota Camry 2016 Gray,Toyota,Camry,2016.0,Foreign Used,Automatic,15500000
Lexus GX 2010 Red,Lexus,Gx,2010.0,Foreign Used,Automatic,32500000
Toyota Corolla 2008 Red,Toyota,Corolla,2008.0,Foreign Used,Automatic,9900000
Mercedes-Benz M Class 2015 White,Mercedes Benz,M Class,2015.0,Foreign Used,Automatic,25500000
Toyota Highlander 2016 White,Toyota,Highlander,2016.0,Foreign Used,Automatic,29650000
Ford Taurus 2013 Silver,Ford,Taurus,2013.0,Foreign Used,Automatic,10550000
Mercedes-Benz C300 Sport 4Matic Sedan AWD (3.0L 6cyl 7A) 2010 White,Mercedes Benz,C300 Sport,2010.0,Local Used,Automatic,5000000
Toyota RAV4 XLE AWD 2020 Red,Toyota,Rav4 Xle,2020.0,Foreign Used,Automatic,35000000
Toyota Sequoia 2004 Blue,Toyota,Sequoia,2004.0,Local Used,Automatic,4429687
Honda Civic 1.7 CTDi S 2005 Blue,Honda,Civic 1,2005.0,Local Used,Automatic,2310000
Lexus RX 330 2005 Silver,Lexus,Rx 330,2005.0,Foreign Used,Automatic,10700000
Lexus RX 350 2018 Black,Lexus,Rx 350,2018.0,Foreign Used,Automatic,55000000
